Дата,Заражений,Выздоровлений,Смертей,Госпитализированы,госпитализирован
14-03-2020,14,,,,
15-03-2020,,,,,
16-03-2020,30,,,,
17-03-2020,21,,,,
18-03-2020,33,,,,
19-03-2020,52,,,,
20-03-2020,51,,,,
21-03-2020,55,,,,
22-03-2020,60,,,,
23-03-2020,71,,,,
24-03-2020,65,,,,
25-03-2020,163,,,,
26-03-2020,179,,,,
27-03-2020,195,,,,
28-03-2020,225,,,,
29-03-2020,269,,,,
30-03-2020,306,,,,
31-03-2020,497,,,,
01-04-2020,443,,,,
02-04-2020,768,,,,
03-04-2020,602,,,,
04-04-2020,584,,,,
05-04-2020,676,,,,
06-04-2020,941,,,,
07-04-2020,1166,,,,
08-04-2020,1160,,,,
09-04-2020,1467,,,,
10-04-2020,1784,,,,
11-04-2020,1683,,,,
12-04-2020,2194,,,,
13-04-2020,2546,,,,
14-04-2020,2808,,,,
15-04-2020,3407,,,,
16-04-2020,3438,,,,
17-04-2020,4079,,,,
18-04-2020,4847,,,,
19-04-2020,6051,,,,
20-04-2020,4319,,,,
21-04-2020,5635,,,,
22-04-2020,5182,,,,
23-04-2020,4767,,,,
24-04-2020,5880,,,,
25-04-2020,6022,,,,
26-04-2020,6291,,,,
27-04-2020,6257,,,,
28-04-2020,6342,,,,
29-04-2020,5945,,,,
30-04-2020,6978,,,,
